id,date_time,mc_code,buiding,auto_run,power_on,power_off,meeting,break_field,plan_stop,kpr_percent,yield_field,target_oee,one_day_time_on,available_time,percent_available,percent_performance,percent_oee,factory_utilize,percent_teep,process_group,is_check
37902929,2025-12-09 00:00:00,X-35-14,C,7,1430,3,0,0,0,100.0,100.0,85.0,1440,1437,0.4861111,100.0,0.4861111,100.0,0.4861111,ZPRN,False
37902930,2025-12-09 00:00:00,X-35-15,B/2,416,1021,3,0,0,0,100.0,100.0,85.0,1440,1437,28.88889,100.0,28.88889,100.0,28.88889,ZPRN,False
37902931,2025-12-09 00:00:00,X-35-16,B2,13,1313,114,0,0,0,100.0,100.0,85.0,1440,1326,0.9027778,100.0,0.9027778,100.0,0.9027778,ZPRN,False
37902932,2025-12-09 00:00:00,X-35-18,C,361,1074,5,0,0,0,100.0,100.0,85.0,1440,1435,25.069445,100.0,25.069445,100.0,25.069445,ZPRN,False
37902933,2025-12-09 00:00:00,X-35-19,B/2,527,192,721,0,0,0,100.0,100.0,85.0,1440,719,36.59722,100.0,36.59722,100.0,36.59722,ZPRN,False
37902934,2025-12-09 00:00:00,X-35-20,B2,0,1325,115,0,0,0,100.0,100.0,85.0,1440,1325,0.0,100.0,0.0,100.0,0.0,ZPRN,False
37902935,2025-12-09 00:00:00,X-35-21,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZPRN,False
37902936,2025-12-09 00:00:00,X-35-22,A/2,4,1432,4,0,0,0,100.0,100.0,85.0,1440,1436,0.2777778,100.0,0.2777778,100.0,0.2777778,ZPRN,False
37902937,2025-12-09 00:00:00,X-35-25,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZPRN,False
37902938,2025-12-09 00:00:00,X-35-27,B/2,1431,4,5,0,0,0,100.0,100.0,85.0,1440,1435,99.375,100.0,99.375,100.0,99.375,ZPRN,False
