id,date_time,mc_code,buiding,auto_run,power_on,power_off,meeting,break_field,plan_stop,kpr_percent,yield_field,target_oee,one_day_time_on,available_time,percent_available,percent_performance,percent_oee,factory_utilize,percent_teep,process_group,is_check
37510156,2025-12-07 00:00:00,AVI-306,A/2,251,14,1175,0,0,0,100.0,100.0,85.0,1440,265,17.430555,100.0,17.430555,100.0,17.430555,BE,False
37302715,2025-12-07 00:00:00,AVI-308,A,0,1440,0,0,0,0,100.0,100.0,85.0,1440,1440,0.0,100.0,0.0,100.0,0.0,BE,False
37302330,2025-12-07 00:00:00,INT-129,,358,277,805,0,0,0,100.0,100.0,85.0,1440,635,24.86111,100.0,24.86111,100.0,24.86111,FI,False
37304293,2025-12-07 00:00:00,INT-130,,648,623,169,0,0,0,100.0,100.0,85.0,1440,1271,45.0,100.0,45.0,100.0,45.0,FI,False
37313490,2025-12-07 00:00:00,R1-27-06,B/1,229,6,1205,0,0,0,100.0,100.0,85.0,1440,235,15.902778,100.0,15.902778,100.0,15.902778,ZBLK,False
37302449,2025-12-07 00:00:00,R1-27-08,B/1,517,12,911,0,0,0,100.0,100.0,85.0,1440,529,35.90278,100.0,35.90278,100.0,35.90278,ZBLK,False
37302070,2025-12-07 00:00:00,R1-44-101,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,BE,False
37302071,2025-12-07 00:00:00,R2-44-26,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,BE,False
37302076,2025-12-07 00:00:00,R4-27-01,C,438,30,972,0,0,0,100.0,100.0,85.0,1440,468,30.416666,100.0,30.416666,100.0,30.416666,ZBLK,False
37302078,2025-12-07 00:00:00,R4-27-11,B/1,0,1415,25,0,0,0,100.0,100.0,85.0,1440,1415,0.0,100.0,0.0,100.0,0.0,ZBLK,False
37508183,2025-12-07 00:00:00,R4-27-13,B/2,258,16,1166,0,0,0,100.0,100.0,85.0,1440,274,17.916666,100.0,17.916666,100.0,17.916666,ZBLK,False
37302115,2025-12-07 00:00:00.004000,T1-36-02,A/2,497,940,3,0,0,0,100.0,100.0,85.0,1440,1437,34.51389,100.0,34.51389,100.0,34.51389,ZBAK,True
37302143,2025-12-07 00:00:00,T1-36-02,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
37302144,2025-12-07 00:00:00,T1-36-03,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
37302116,2025-12-07 00:00:00.004000,T1-36-03,A/2,466,971,3,0,0,0,100.0,100.0,85.0,1440,1437,32.36111,100.0,32.36111,100.0,32.36111,ZBAK,True
37302145,2025-12-07 00:00:00,T1-36-04,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
37302147,2025-12-07 00:00:00,T1-36-05,C,55,69,1316,0,0,0,100.0,100.0,85.0,1440,124,3.8194444,100.0,3.8194444,100.0,3.8194444,ZBAK,False
37302148,2025-12-07 00:00:00,T1-36-07,C,226,1018,196,0,0,0,100.0,100.0,85.0,1440,1244,15.694445,100.0,15.694445,100.0,15.694445,ZBAK,False
37302149,2025-12-07 00:00:00,T1-36-08,,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZBAK,False
